0	Not Specified
1	320 x 200
2	640 x 240
3	640 x 400
4	640 x 480
5	800 x 480
6	800 x 600
7	600 x 800
8	768 x 1024
9	1024 x 480
10	1024 x 768
11	1152 x 864
12	1152 x 1728
13	1280 x 1024
14	1600 x 1024
15	1600 x 1200
16	1600 x 1280
17	2560 x 1024
18	1920 x 1200
19	2048 x 768
20	2048 x 1024
21	2048 x 1536
22	2400 x 600
23	3200 x 1200
24	1024 x 600
25	1152 x 800
26	768 x 600
27	768 x 480
28	640 x 600
29	??? x 1024
30	600 x 400
31	800 x 768
32	??? x 480
33	1600 x 600
34	320 x 400
35	??? x 600
36	1920 x 768
37	1152 x 768
38	800 x 1200
39	768 x 400
40	1152 x 1024
41	2400 x 864
42	600 x 480
43	??? x 768
44	1280 x 864
45	1024 x 1536
46	3200 x 768
47	2400 x 768
48	1280 x 768
49	1024 x 864
50	1920 x 600
51	640 x 800
52	3200 x 1024
53	800 x 400
54	1024 x 800
55	1920 x 1536
56	600 x 600
57	320 x 240
58	1280 x 480
59	1280 x 1200
60	1024 x 400
61	??? x 864
62	2048 x 864
63	??? x 800
64	3200 x 600
65	640 x 864
66	2400 x 800
67	1600 x 1728
68	320 x 480
69	1152 x 1200
70	1600 x 864
71	1280 x 800
72	2048 x 1200
73	1024 x 1024
74	640 x 200
75	??? x 400
76	??? x 1200
77	600 x 240
78	1280 x 1728
79	1024 x 200
80	1920 x 1024
81	1152 x 240
82	1600 x 768
83	640 x 1024
84	1920 x 480
85	2400 x 1024
86	1920 x 1728
87	1920 x 864
88	3200 x 1280
89	1600 x 480
90	1920 x 1280
91	1024 x 1728
92	800 x 240
93	2048 x 1728
94	1152 x 1536
95	3200 x 1536
96	2560 x 480
97	1280 x 400
98	2048 x 600
99	??? x 1280
100	1600 x 800
101	1024 x 1280
102	2048 x 800
103	1024 x 1200
104	800 x ???
105	320 x 600
106	800 x 800
107	2400 x 1728
108	1280 x 1280
109	2560 x 1728
110	640 x 768
111	1024 x ???
112	1280 x 1536
113	2560 x 768
114	768 x 768
115	1920 x 800
116	2560 x 864
117	2400 x 1200
118	600 x 768
119	800 x 200
120	??? x 1536
121	2048 x 1280
122	800 x 1024
123	1152 x 600
124	??? x 200
125	1600 x 400
126	2400 x 1280
127	600 x 200
128	800 x 1280
129	??? x 1728
130	2560 x 1200
131	2400 x 1536
132	1152 x ???
133	640 x ???
134	1600 x 1536
135	1280 x 600
136	600 x ???
137	??? x 240
138	1920 x 400
139	1152 x 1280
140	800 x 1728
141	3200 x 864
142	3200 x 800
143	3200 x 1728
144	320 x ???
145	2560 x 1536
146	2048 x 240
147	1280 x 200
148	2048 x 400
149	1600 x 240
150	2048 x 480
151	800 x 864
152	1600 x ???
153	2560 x 600
154	2560 x 800
155	320 x 768
156	1280 x ???
157	768 x 1536
158	320 x 864
159	2560 x 400
160	768 x 864
161	1024 x 240
162	2560 x 1280
163	1280 x 240
164	1152 x 200
165	640 x 1536
166	1920 x 240
167	320 x 1200
168	2400 x 480
169	768 x ???
170	1152 x 480
171	3200 x 480
172	3200 x 400
173	1600 x 200
174	1152 x 400
175	600 x 864
176	3200 x 240
177	1400 x 1050
178	1400 x 1024
179	1920 x 1050
180	1600 x 1050
181	1400 x 864
182	1400 x 1200
183	1400 x 1280
184	1680 x 1050
185	1366 x 768
186	1920 x 1080
187	320 x 533
188	320 x 568
189	360 x 480
190	360 x 600
191	360 x 640
192	375 x 667
193	384 x 640
194	390 x 390
195	400 x 640
196	414 x 736
197	432 x 768
198	480 x 800
199	600 x 1024
200	600 x 960
201	720 x 1280
202	768 x 1366
203	1024 x 1366
204	1024 x 1440
205	480 x 320
206	568 x 320
207	736 x 414
208	667 x 375
209	480 x 360
210	640 x 384
211	640 x 360
212	768 x 432
213	600 x 360
214	533 x 320
215	1366 x 1024
216	960 x 600
217	1440 x 1024
218	1280 x 720
219	360 x ???
220	375 x ???
221	384 x ???
222	390 x ???
223	400 x ???
224	414 x ???
225	432 x ???
226	360 x 200
227	375 x 200
228	384 x 200
229	390 x 200
230	400 x 200
231	414 x 200
232	432 x 200
233	360 x 240
234	375 x 240
235	384 x 240
236	390 x 240
237	400 x 240
238	414 x 240
239	432 x 240
240	360 x 400
241	375 x 400
242	384 x 400
243	390 x 400
244	400 x 400
245	414 x 400
246	432 x 400
247	375 x 480
248	384 x 480
249	390 x 480
250	400 x 480
251	414 x 480
252	432 x 480
253	375 x 600
254	384 x 600
255	390 x 600
256	400 x 600
257	414 x 600
258	432 x 600
259	360 x 768
260	375 x 768
261	384 x 768
262	390 x 768
263	400 x 768
264	414 x 768
265	360 x 864
266	375 x 864
267	384 x 864
268	390 x 864
269	400 x 864
270	414 x 864
271	432 x 864
272	360 x 1200
273	375 x 1200
274	384 x 1200
275	390 x 1200
276	400 x 1200
277	414 x 1200
278	432 x 1200
279	360 x 533
280	375 x 533
281	384 x 533
282	390 x 533
283	400 x 533
284	414 x 533
285	432 x 533
286	360 x 568
287	375 x 568
288	384 x 568
289	390 x 568
290	400 x 568
291	414 x 568
292	432 x 568
293	480 x ???
294	533 x ???
295	568 x ???
296	480 x 200
297	533 x 200
298	568 x 200
299	480 x 240
300	533 x 240
301	568 x 240
302	480 x 400
303	533 x 400
304	568 x 400
305	480 x 480
306	533 x 480
307	568 x 480
308	480 x 600
309	533 x 600
310	568 x 600
311	480 x 768
312	533 x 768
313	568 x 768
314	533 x 800
315	568 x 800
316	480 x 864
317	533 x 864
318	568 x 864
319	480 x 1024
320	533 x 1024
321	568 x 1024
322	480 x 960
323	533 x 960
324	568 x 960
325	533 x 360
326	568 x 360
327	667 x ???
328	690 x ???
329	667 x 200
330	690 x 200
331	667 x 240
332	690 x 240
333	667 x 400
334	690 x 400
335	667 x 480
336	690 x 480
337	667 x 600
338	690 x 600
339	667 x 768
340	690 x 768
341	667 x 800
342	690 x 800
343	667 x 864
344	690 x 864
345	667 x 1024
346	690 x 1024
347	667 x 1536
348	690 x 1536
349	667 x 360
350	690 x 360
351	667 x 384
352	690 x 384
353	720 x ???
354	736 x ???
355	720 x 400
356	736 x 400
357	720 x 480
358	736 x 480
359	720 x 600
360	736 x 600
361	720 x 768
362	736 x 768
363	720 x 864
364	736 x 864
365	720 x 1024
366	736 x 1024
367	720 x 1536
368	736 x 1536
369	720 x 1366
370	736 x 1366
371	720 x 432
372	736 x 432
373	960 x ???
374	960 x 200
375	960 x 240
376	960 x 400
377	960 x 480
378	960 x 768
379	960 x 800
380	960 x 864
381	960 x 1024
382	960 x 1200
383	960 x 1280
384	960 x 1536
385	960 x 1728
386	960 x 1366
387	960 x 1440
388	1440 x 864
389	1440 x 1050
390	1440 x 1200
391	1440 x 1280
392	1440 x ???
393	1440 x 200
394	1440 x 240
395	1440 x 400
396	1440 x 480
397	1440 x 600
398	1440 x 768
399	1440 x 800
400	1440 x 1536
401	1440 x 1728
402	??? x 320
403	??? x 390
404	??? x 360
405	??? x 375
406	??? x 384
407	??? x 414
408	??? x 432
409	??? x 533
410	??? x 568
411	??? x 640
412	??? x 667
413	??? x 690
414	??? x 736
415	??? x 720
416	??? x 960
417	??? x 1366
418	??? x 1440
419	320 x 320
420	320 x 390
421	320 x 360
422	320 x 375
423	320 x 384
424	320 x 414
425	320 x 432
426	320 x 640
427	320 x 667
428	320 x 690
429	320 x 736
430	320 x 720
431	600 x 320
432	600 x 390
433	600 x 375
434	600 x 384
435	600 x 414
436	600 x 432
437	600 x 533
438	600 x 568
439	600 x 640
440	600 x 667
441	600 x 690
442	600 x 736
443	600 x 720
444	640 x 320
445	640 x 390
446	640 x 375
447	640 x 414
448	640 x 432
449	640 x 533
450	640 x 568
451	640 x 640
452	640 x 667
453	640 x 690
454	640 x 736
455	640 x 720
456	640 x 960
457	640 x 1440
458	768 x 390
459	768 x 320
460	768 x 360
461	768 x 375
462	768 x 384
463	768 x 414
464	768 x 533
465	768 x 568
466	768 x 640
467	768 x 667
468	768 x 690
469	768 x 736
470	768 x 720
471	768 x 960
472	768 x 1440
473	800 x 320
474	800 x 390
475	800 x 360
476	800 x 375
477	800 x 384
478	800 x 414
479	800 x 432
480	800 x 533
481	800 x 568
482	800 x 640
483	800 x 667
484	800 x 690
485	800 x 736
486	800 x 720
487	800 x 960
488	800 x 1366
489	1024 x 320
490	1024 x 390
491	1024 x 360
492	1024 x 375
493	1024 x 384
494	1024 x 414
495	1024 x 432
496	1024 x 533
497	1024 x 568
498	1024 x 640
499	1024 x 667
500	1024 x 690
501	1024 x 736
502	1024 x 720
503	1024 x 960
504	1152 x 320
505	1152 x 390
506	1152 x 360
507	1152 x 375
508	1152 x 384
509	1152 x 414
510	1152 x 432
511	1152 x 533
512	1152 x 568
513	1152 x 640
514	1152 x 667
515	1152 x 690
516	1152 x 736
517	1152 x 720
518	1152 x 960
519	1152 x 1366
520	1152 x 1440
521	1280 x 320
522	1280 x 390
523	1280 x 360
524	1280 x 375
525	1280 x 384
526	1280 x 414
527	1280 x 432
528	1280 x 533
529	1280 x 568
530	1280 x 640
531	1280 x 667
532	1280 x 690
533	1280 x 736
534	1280 x 960
535	1280 x 1366
536	1280 x 1440
537	1400 x 960
538	1400 x 1366
539	1600 x 320
540	1600 x 390
541	1600 x 360
542	1600 x 375
543	1600 x 384
544	1600 x 414
545	1600 x 432
546	1600 x 533
547	1600 x 568
548	1600 x 640
549	1600 x 667
550	1600 x 690
551	1600 x 736
552	1600 x 720
553	1600 x 960
554	1600 x 1366
555	1600 x 1440
556	1920 x 320
557	1920 x 390
558	1920 x 360
559	1920 x 375
560	1920 x 384
561	1920 x 414
562	1920 x 432
563	1920 x 533
564	1920 x 568
565	1920 x 640
566	1920 x 667
567	1920 x 690
568	1920 x 736
569	1920 x 720
570	1920 x 960
571	1920 x 1366
572	1920 x 1440
573	2048 x 320
574	2048 x 390
575	2048 x 360
576	2048 x 375
577	2048 x 384
578	2048 x 414
579	2048 x 432
580	2048 x 533
581	2048 x 568
582	2048 x 640
583	2048 x 667
584	2048 x 690
585	2048 x 736
586	2048 x 720
587	2048 x 960
588	2048 x 1366
589	2048 x 1440
590	2400 x 533
591	2400 x 568
592	2400 x 640
593	2400 x 667
594	2400 x 690
595	2400 x 736
596	2400 x 720
597	2400 x 960
598	2400 x 1366
599	2400 x 1440
600	2560 x 390
