1	Purchase
2	Product View
10	Cart Open
11	Checkout
12	Cart Add
13	Cart Remove
14	Cart View
20	Campaign View
100	Instance of eVar1
101	Instance of eVar2
102	Instance of eVar3
103	Instance of eVar4
104	Instance of eVar5
105	Instance of eVar6
106	Instance of eVar7
107	Instance of eVar8
108	Instance of eVar9
109	Instance of eVar10
110	Instance of eVar11
111	Instance of eVar12
112	Instance of eVar13
113	Instance of eVar14
114	Instance of eVar15
115	Instance of eVar16
116	Instance of eVar17
117	Instance of eVar18
118	Instance of eVar19
119	Instance of eVar20
120	Instance of eVar21
121	Instance of eVar22
122	Instance of eVar23
123	Instance of eVar24
124	Instance of eVar25
125	Instance of eVar26
126	Instance of eVar27
127	Instance of eVar28
128	Instance of eVar29
129	Instance of eVar30
130	Instance of eVar31
131	Instance of eVar32
132	Instance of eVar33
133	Instance of eVar34
134	Instance of eVar35
135	Instance of eVar36
136	Instance of eVar37
137	Instance of eVar38
138	Instance of eVar39
139	Instance of eVar40
140	Instance of eVar41
141	Instance of eVar42
142	Instance of eVar43
143	Instance of eVar44
144	Instance of eVar45
145	Instance of eVar46
146	Instance of eVar47
147	Instance of eVar48
148	Instance of eVar49
149	Instance of eVar50
150	Instance of eVar51
151	Instance of eVar52
152	Instance of eVar53
153	Instance of eVar54
154	Instance of eVar55
155	Instance of eVar56
156	Instance of eVar57
157	Instance of eVar58
158	Instance of eVar59
159	Instance of eVar60
160	Instance of eVar61
161	Instance of eVar62
162	Instance of eVar63
163	Instance of eVar64
164	Instance of eVar65
165	Instance of eVar66
166	Instance of eVar67
167	Instance of eVar68
168	Instance of eVar69
169	Instance of eVar70
170	Instance of eVar71
171	Instance of eVar72
172	Instance of eVar73
173	Instance of eVar74
174	Instance of eVar75
175	Instance of eVar76
176	Instance of eVar77
177	Instance of eVar78
178	Instance of eVar79
179	Instance of eVar80
180	Instance of eVar81
181	Instance of eVar82
182	Instance of eVar83
183	Instance of eVar84
184	Instance of eVar85
185	Instance of eVar86
186	Instance of eVar87
187	Instance of eVar88
188	Instance of eVar89
189	Instance of eVar90
190	Instance of eVar91
191	Instance of eVar92
192	Instance of eVar93
193	Instance of eVar94
194	Instance of eVar95
195	Instance of eVar96
196	Instance of eVar97
197	Instance of eVar98
198	Instance of eVar99
199	Instance of eVar100
10000	Instance of eVar101
10001	Instance of eVar102
10002	Instance of eVar103
10003	Instance of eVar104
10004	Instance of eVar105
10005	Instance of eVar106
10006	Instance of eVar107
10007	Instance of eVar108
10008	Instance of eVar109
10009	Instance of eVar110
10010	Instance of eVar111
10011	Instance of eVar112
10012	Instance of eVar113
10013	Instance of eVar114
10014	Instance of eVar115
10015	Instance of eVar116
10016	Instance of eVar117
10017	Instance of eVar118
10018	Instance of eVar119
10019	Instance of eVar120
10020	Instance of eVar121
10021	Instance of eVar122
10022	Instance of eVar123
10023	Instance of eVar124
10024	Instance of eVar125
10025	Instance of eVar126
10026	Instance of eVar127
10027	Instance of eVar128
10028	Instance of eVar129
10029	Instance of eVar130
10030	Instance of eVar131
10031	Instance of eVar132
10032	Instance of eVar133
10033	Instance of eVar134
10034	Instance of eVar135
10035	Instance of eVar136
10036	Instance of eVar137
10037	Instance of eVar138
10038	Instance of eVar139
10039	Instance of eVar140
10040	Instance of eVar141
10041	Instance of eVar142
10042	Instance of eVar143
10043	Instance of eVar144
10044	Instance of eVar145
10045	Instance of eVar146
10046	Instance of eVar147
10047	Instance of eVar148
10048	Instance of eVar149
10049	Instance of eVar150
10050	Instance of eVar151
10051	Instance of eVar152
10052	Instance of eVar153
10053	Instance of eVar154
10054	Instance of eVar155
10055	Instance of eVar156
10056	Instance of eVar157
10057	Instance of eVar158
10058	Instance of eVar159
10059	Instance of eVar160
10060	Instance of eVar161
10061	Instance of eVar162
10062	Instance of eVar163
10063	Instance of eVar164
10064	Instance of eVar165
10065	Instance of eVar166
10066	Instance of eVar167
10067	Instance of eVar168
10068	Instance of eVar169
10069	Instance of eVar170
10070	Instance of eVar171
